gene,B2_S1,B3_S2,B4_S3,B5_S4,D10_S28,D12_S41,D13_S42,D14_S43,D15_S44,D7_S25,D8_S26,D9_S27,E2_S5,E3_S6,E4_S7,E5_S8,F2_S9,F3_S10,F4_S11,F5_S12,G10_S32,G7_S29,G8_S30,G9_S31,H2_S13,H3_S14,H4_S15,H5_S16,I12_S45,I13_S46,I14_S47,I15_S48,J10_S36,J2_S17,J3_S18,J4_S19,J5_S20,J7_S33,J8_S34,J9_S35,L2_S21,L3_S22,L4_S23,L5_S24,M10_S40,M7_S37,M8_S38,M9_S39
ACTB,43097,47730,32821,21043,81306,64439,84208,61528,67796,100085,105492,82188,15713,27436,19744,25668,30983,72263,19570,24653,91366,96176,81866,90903,41013,46139,18781,19758,118392,78007,81942,120384,72010,34629,39693,31674,56226,78727,77867,73808,41300,36555,19167,42472,72150,85382,71330,62884
ALS2,517,436,471,272,539,538,593,482,465,633,603,478,214,354,286,352,463,683,297,342,644,544,654,581,523,509,227,193,746,567,508,760,557,505,429,468,490,684,583,563,486,259,278,443,538,609,485,438
ANXA11,35,62,77,37,45,35,34,16,25,33,43,33,18,32,40,41,35,68,29,26,33,48,45,50,71,44,41,20,35,27,29,36,32,43,57,38,65,70,24,29,69,22,47,66,39,44,36,34
ATP13A2,2588,2469,1536,1021,6110,5727,6676,5212,4944,6465,6875,7020,841,1486,1109,1377,1728,3533,1060,1260,5917,6864,5758,6866,1809,2276,916,921,10618,5198,6854,8632,939,1760,2130,1447,2757,925,1271,1466,1927,1886,939,2052,5956,6603,4503,6127
ATP6V0A1,8435,8485,7551,4870,10310,8674,8989,8188,7514,14765,11091,10125,3601,6317,4416,5873,6118,8668,4488,5214,10038,10193,9557,11113,9433,7293,4936,3348,12871,8183,9437,13307,10636,8902,5919,8992,8420,12834,9934,10372,8017,6910,4687,7600,37,48,52,44
C1orf43,4195,4197,3530,2356,6473,6084,7123,5083,6081,8369,7716,6201,1585,3237,2302,2799,3321,6060,2213,2720,7159,6411,7045,7409,3365,4628,2285,2235,8603,6254,6526,10167,5930,4453,3912,3499,5691,7182,6235,5967,4875,3900,2280,4614,5338,6446,4894,4927
C9orf72,2262,2131,2060,1269,2022,2008,1984,1830,1580,2610,2389,2060,981,1550,1202,1513,1806,2225,1364,1495,2356,2049,2204,2225,2457,1932,1312,935,2509,1901,1847,2590,2323,2359,1546,2194,1975,2919,2283,2415,2077,1609,1329,2292,2182,2619,1922,2015
CALCOCO2,148,121,117,60,140,135,170,141,149,187,204,134,54,121,78,66,127,160,80,132,165,192,194,211,226,162,62,68,219,143,173,194,146,183,123,177,176,208,177,180,195,142,85,173,164,241,139,191
CHCHD10,1328,1198,946,585,1647,1386,1666,1264,1623,2014,1851,1693,496,857,672,686,961,1702,728,803,1742,1801,1728,1828,867,1141,577,561,2214,1385,1545,2104,1618,1078,1119,893,1680,1833,1652,1712,1490,1260,601,1210,1507,1764,1238,1498
CHCHD2,0,0,0,1,3,4,1,4,11,1,2,3,1,2,0,0,1,0,1,4,6,4,3,3,2,0,1,2,8,1,3,4,5,1,5,0,4,8,2,2,3,1,1,1,4,5,1,10
CHMP2B,968,1026,1012,538,1133,1169,1006,1166,1100,1509,1237,1179,364,694,566,568,712,1086,427,636,1394,1164,1273,1338,1441,978,622,517,1370,1238,1168,1520,1240,1077,749,1165,936,1573,1294,1234,938,705,661,896,1228,1515,1146,1108
CLN5,672,652,425,349,597,630,586,481,489,853,716,514,198,489,376,482,504,683,267,362,792,680,771,662,367,528,286,321,700,618,559,710,777,653,493,517,683,950,768,692,506,478,357,542,649,815,626,649
CLN8,258,304,306,153,237,234,255,223,211,344,332,234,116,274,117,199,221,305,146,146,331,257,294,307,323,227,162,103,292,242,234,311,296,389,243,309,229,338,283,321,314,222,186,311,345,413,285,345
CRLS1,1364,1614,1345,747,1412,1470,1417,1305,1353,1902,1693,1374,598,969,844,990,1059,2036,669,787,1753,1447,1602,1634,1923,1449,965,599,1758,1466,1498,1997,1863,1523,945,1599,1387,2041,1754,1819,1418,1102,885,1400,1490,1785,1414,1457
CTSB,2126,2104,1345,948,5226,4538,5339,4280,4254,5890,5553,5587,706,1421,940,1410,1517,2891,940,1284,4995,5499,4383,5525,1327,1992,994,990,8455,4207,5795,7340,5842,1773,1948,1367,2678,6160,5121,5656,2293,1822,1085,2077,4214,4801,3157,4344
CTSD,288,203,115,103,960,731,1005,648,613,901,976,1062,95,174,129,140,204,367,121,162,875,1073,894,969,59,226,75,126,1713,764,1046,1373,961,159,246,56,356,979,816,819,233,219,111,254,1027,1082,626,971
CTSL,822,776,954,416,800,684,679,586,750,957,812,666,395,637,495,637,702,892,542,508,873,815,853,910,966,743,427,331,925,647,753,918,960,888,600,993,807,1145,931,960,818,625,489,857,918,1137,741,824
DCTN1,8899,5656,4259,3868,14467,13688,15384,13470,12043,16734,17652,14654,2916,5661,4350,5104,6225,9855,4285,4933,15422,14597,13303,15820,2732,6534,3281,3626,19192,12637,14897,17453,13503,6733,7608,3745,9661,15874,13207,14100,7303,4633,3899,7205,11684,13761,9847,12403
FUS,13640,12738,9018,5893,21169,19627,21901,18642,19390,27524,25363,22851,4743,8272,5718,7042,7950,17743,5775,6566,24255,20599,21132,21962,7701,13089,5226,4941,30481,19936,21448,30530,21510,8789,8956,8682,13469,24769,21704,22488,10506,8411,5527,12212,18632,21378,16911,16294
FYN,5640,6832,5608,3238,5875,5929,6103,5359,5241,8610,7131,5906,2301,4039,2770,4123,4414,7407,2848,3484,7324,6479,6745,7166,10974,6414,3771,2726,7375,6202,6035,8809,5765,7423,4672,8925,6440,7443,6157,6004,6490,4685,3800,5804,5548,7218,5668,5218
GALC,1583,2025,1673,1027,1293,1168,1276,1151,1292,1937,1490,1265,677,1214,940,1131,1308,1874,1088,1247,1458,1464,1390,1753,2615,1486,1178,818,1603,1174,1345,1673,1606,2038,1236,2296,1937,1804,1538,1606,1999,1348,1174,1781,1154,1676,1048,1303
GAPDH,1,0,1,1,0,2,1,2,0,1,2,5,0,0,0,0,0,0,0,3,1,6,3,1,3,0,0,0,1,0,0,3,3,0,0,0,2,4,3,1,0,0,0,1,3,0,0,3
GBA,1647,1660,1495,863,1404,1565,1609,1312,1309,1825,1655,1311,666,1135,856,1091,1304,1708,829,1091,1833,1676,1784,1851,1674,1397,941,623,2092,1409,1495,2261,1815,1585,1206,1653,1515,2167,1652,1616,1638,1255,851,1624,1476,1715,1168,1447
GCH1,384,419,400,248,403,348,403,376,426,545,500,371,167,280,169,205,330,471,185,223,516,455,476,484,521,456,219,173,580,459,406,604,394,491,308,566,505,490,483,433,463,367,231,445,536,701,550,520
GRN,1496,1366,1146,698,1640,8,47,34,21,2148,2027,1358,523,903,665,840,1070,1844,642,777,2034,1651,1823,1829,1581,1374,770,601,2230,1782,1748,2516,1632,1425,1091,1398,1588,2032,1811,1482,1460,1116,811,1380,1505,1808,1397,1448
GSTO1,374,483,447,236,294,259,286,254,368,464,283,267,164,255,237,211,269,404,209,193,336,310,342,324,521,328,193,167,303,251,290,410,359,496,288,590,391,502,416,353,393,413,248,392,315,418,309,324
GUSB,449,399,514,270,393,454,401,345,396,418,459,380,210,338,278,299,419,490,273,376,431,397,425,490,668,433,327,197,535,383,428,485,430,427,342,688,458,490,361,441,501,281,295,487,317,511,295,361
HMBS,427,546,417,227,457,445,542,344,439,589,548,433,188,332,215,274,374,614,242,276,513,385,465,475,511,449,240,157,567,471,455,726,502,415,287,352,477,627,580,570,400,360,181,372,492,543,369,416
HMOX1,36,54,34,14,64,35,62,41,55,56,53,71,20,39,7,17,25,74,20,22,58,53,41,64,36,44,15,13,63,37,52,67,71,46,39,35,51,53,53,67,37,30,7,27,45,51,30,46
HNRNPA2B1,28853,28794,29489,15072,24926,28188,26690,24611,20254,37828,31390,27382,11658,19225,15730,19004,22853,33731,15392,17532,29630,26312,26681,30485,48120,25511,17833,11054,34599,23824,25505,35905,27188,32159,18194,38629,26217,36170,26808,30093,29443,16586,16647,23423,22119,29814,20075,20690
KIF5A,16266,14556,15921,8188,19167,17911,18327,17330,16217,25958,22749,19479,6560,9806,8191,9420,12243,19477,8167,9137,21948,20870,20727,23195,22782,15319,9016,5846,27136,17138,18616,26991,18701,16363,10871,18458,16558,23939,18106,20499,16121,8536,8787,15116,16187,22260,14976,15808
LRRK2,201,184,162,101,182,130,135,110,100,197,153,135,94,129,103,126,140,177,115,96,159,185,139,190,260,160,133,62,262,138,147,188,160,266,75,239,173,191,162,166,157,77,109,180,151,240,98,138
MAPT,4554,3165,2022,1470,19120,19918,21237,18078,15476,17881,20357,23354,1181,2490,1671,1778,2914,6524,1838,2225,16229,18867,14983,20908,1625,3806,1314,1445,34308,15364,23610,31934,16368,2321,3985,1507,5252,17590,14135,18045,2865,2643,1213,3595,14672,14243,8990,14326
MCCC1,869,770,876,483,762,677,702,645,619,994,918,770,358,619,443,694,749,1022,469,581,795,718,859,812,973,698,505,262,857,708,654,891,849,862,570,947,836,919,684,773,799,537,434,783,614,791,508,572
NAGLU,105,84,74,44,193,157,197,160,145,246,201,201,31,49,28,53,81,108,37,45,166,193,155,204,70,81,41,29,288,150,197,289,152,69,95,76,130,179,127,145,74,83,31,111,148,136,122,172
NBR1,2451,2541,2525,1604,2473,2147,2123,1927,2109,3038,2480,2322,1253,1982,1452,2039,1956,2792,1496,1711,2666,2317,2511,2747,3944,2479,1738,1108,2760,2159,2227,3048,2372,3119,1676,3037,2595,2839,2193,2160,2714,1602,1652,2432,1856,2367,1618,1860
NEU1,1302,1418,1131,744,1520,1418,1675,1321,1450,1949,1754,1502,516,827,535,843,896,1612,566,728,1934,1780,2074,1894,1909,1426,713,503,2001,1526,1538,2325,1548,1356,959,1489,1547,2057,1683,1575,1375,847,692,1336,2027,2576,2069,1920
NQO1,25,33,19,14,52,37,33,34,40,47,46,56,13,27,19,27,33,38,15,14,52,64,56,51,9,25,12,14,56,33,43,62,48,21,39,26,30,43,52,32,28,33,15,38,44,50,29,42
OPTN,1526,1557,1261,798,2214,2262,2475,2032,1841,2677,2566,2204,651,1084,933,1025,1206,1757,831,992,2402,2347,2391,2754,1176,1300,787,654,2830,2000,2396,3111,2150,1361,1278,1034,1679,2388,1954,1934,1444,1084,757,1450,1954,2438,1512,2292
OXR1,3224,3127,2672,1850,2913,2558,2817,2406,2654,3905,3515,2839,1476,2335,1892,2172,2424,3390,1834,1992,3262,3378,3240,3343,2909,2597,1699,1317,3415,2840,2769,3162,3739,3225,2386,2865,3058,4135,3717,3929,3424,2577,1982,3369,3236,3817,2950,3536
PARK2,184,172,194,105,121,104,116,101,106,161,119,135,106,133,107,145,2,12,6,2,130,137,110,134,322,172,122,91,115,119,119,113,121,224,120,270,168,145,125,148,207,158,124,162,115,177,99,107
PARK7,7481,7104,7887,3969,8752,8063,9097,8145,9434,12424,9993,9300,3115,5264,4072,4469,5549,9969,4289,4594,9359,8895,9361,10041,3950,3455,2343,1644,11651,8736,8810,13823,8527,7968,5932,9067,9113,10387,8533,9171,8830,6127,4552,8082,6768,9031,6660,6624
PFN1,4655,3343,1392,1674,13659,9937,12173,9308,10308,14944,14221,15434,1357,2835,1918,2737,3128,5229,1650,2180,13346,13763,11279,14322,546,2959,1033,2153,17598,10398,14455,16429,13301,2247,4105,813,6076,14686,12694,12909,2748,4344,1052,4003,13119,12789,8036,13366
PINK1,866,736,524,342,2014,2055,2250,1673,1746,2123,2334,2199,28,52,24,13,600,1154,363,476,1895,2144,2084,2223,627,927,337,435,3569,1928,2362,3300,2088,636,823,555,1182,2124,2001,1981,970,663,378,771,1899,2364,1400,2042
PSAP,8523,6900,4674,3400,22910,22684,26403,19489,19130,25786,26344,26074,2536,4650,3612,3966,5824,12226,3411,4194,22084,25268,19959,26955,4405,7403,3208,3297,40060,19003,28137,38064,20330,5781,7715,4154,10630,23864,18720,21282,6984,5731,2958,6815,18705,21722,13002,19347
PSMB4,2385,2052,1889,1103,3199,2809,3014,2503,2991,3904,3465,3157,891,1545,1160,1281,1807,3261,1186,1306,3418,3665,3261,3925,2357,2288,1209,1098,4716,3231,3504,4765,3030,2251,1994,2133,3071,3629,3217,3078,2606,2133,1237,2404,2710,3760,2440,2663
SCARB2,10590,10444,9498,5715,11242,11904,10981,10726,9728,17031,12855,11799,4449,7700,6037,7571,7737,12313,5613,6869,12632,11526,11125,12367,12902,9917,6934,4641,13776,10493,11044,15035,12201,12518,8251,12029,11191,15458,11179,12848,11520,8189,7474,10601,9989,11494,8595,9673
SETX,1657,1619,1728,1160,1239,1219,1159,1153,1009,1568,1414,1159,917,1159,1096,1466,1496,1532,1077,1225,1491,1167,1242,1569,2168,1460,1111,825,1435,1250,1116,1547,1222,1819,1234,2219,1575,1604,1227,1293,1861,1170,1081,1752,1098,1483,943,1090
SNCA,10468,10896,10698,5552,9442,9859,9959,8102,7928,13781,11852,9670,4423,6923,5202,6817,7750,12778,5491,5933,10955,10452,10018,11395,15711,9225,5743,3889,13265,9593,9887,14603,8819,1563,1035,1944,1520,11307,9153,8643,10487,6608,5509,9194,9640,13571,8550,9263
SOD1,4612,4756,4828,2721,4423,4679,4793,4406,4938,6162,5125,4113,1936,3636,2898,3095,3741,5894,2614,3201,5417,4990,4780,5713,7420,5015,3215,2459,6216,4869,5136,7395,5089,5500,3648,6520,5220,6251,5375,5325,5637,3749,3422,5375,4532,6375,4494,4472
SQSTM1,2605,2900,2535,1539,3065,2716,3068,2519,2958,4422,3736,3092,1252,1906,1409,1788,2166,3615,1463,1627,3534,3597,3635,3786,3527,2958,1768,1410,4324,3283,3251,4601,2869,2980,2389,3150,3481,3819,3029,3057,3562,2660,1703,2996,2875,4183,2859,2967
STX17,740,730,710,381,653,716,629,487,520,838,674,567,308,471,383,450,583,716,342,578,593,569,593,741,885,535,396,241,835,567,650,858,624,727,488,732,595,802,604,695,691,469,414,584,570,735,429,543
TARDBP,7770,8775,7476,4930,7662,7204,7475,7108,6724,10302,9037,7449,3787,6172,4841,6537,6057,8831,4715,5626,8600,7412,8383,8497,12299,7621,5440,3748,9444,7780,7162,9711,8337,9407,6102,10757,8207,9691,8650,8635,8631,6183,5724,8496,6928,9174,6446,6344
TAX1BP1,3101,3081,2866,1497,2830,2830,2933,2713,2566,3911,3458,2932,1164,1823,1455,1977,2289,3714,1500,1631,3342,3170,2946,3566,4414,2847,1666,1124,3963,2798,2923,3986,3052,2972,2145,4023,2907,4015,3232,3439,3086,2127,1792,2947,2689,3444,2380,2495
TBK1,632,593,608,309,587,555,467,483,420,777,637,553,291,424,406,484,480,655,310,408,635,646,645,722,863,564,445,263,743,540,552,631,676,754,521,689,716,813,587,733,769,520,420,604,569,770,577,654
TMEM106B,1461,1685,1870,957,1105,1168,1110,1080,1061,1706,1311,1032,711,1242,921,1176,1395,1498,1005,1163,1341,1173,1211,1428,2299,1448,1073,756,1309,1082,1149,1419,1195,2071,1306,2248,1609,1575,1169,1234,1788,1375,1100,1588,960,1272,859,1018
TMEM175,2919,2476,2409,1398,3114,2699,2984,2801,2357,3189,3301,3044,1217,1906,1638,1888,2458,3061,1707,1839,3492,2545,3137,3254,2091,2084,1566,991,2965,2312,2552,2928,2939,2276,1814,2534,2801,3332,2420,3555,2313,1775,1347,2346,2421,2984,2066,2457
VAPB,3184,3543,2853,1591,3690,3751,4187,3581,3430,4623,4204,3555,1312,2078,1515,1960,2346,4591,1689,1906,4282,4090,3954,4424,4175,3311,2004,1336,5244,3668,3725,5436,3608,3081,2300,3334,3486,4280,3721,3797,3353,2504,1738,2910,3088,4423,3109,2899
VCP,8007,7118,6349,4068,9390,8625,9544,8106,8670,12329,11620,9010,3434,5832,4490,5261,6679,9555,4220,5166,10680,10605,10071,11558,7055,7717,4575,3276,13928,9387,9655,13926,9847,8194,7056,7033,9387,11484,10111,9334,9336,5162,4720,8003,9236,13090,8680,9027
VPS13C,2813,3058,2881,1581,2220,1985,1892,1676,1265,2577,2353,2156,1242,1915,1842,2171,2433,2648,1908,1884,2555,1978,2196,2617,2938,2188,1718,1024,2337,1746,1756,2104,2161,2656,1727,2694,2633,2614,1977,2206,2702,1741,1536,2413,1971,2622,1567,1910
VPS35,5316,5776,4584,2707,7093,6577,7164,5675,6059,10388,8576,6803,1900,3410,2633,3287,4242,6807,2521,3381,1022,871,1409,3024,5317,5283,2978,2093,9297,6320,6568,9776,6509,5176,4510,4730,6625,7621,7229,5912,5309,4353,2891,5452,6380,7539,5731,5435